,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
144115,26-4599244,2011,HUD,Conventional,194,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Bridgeport, Stamford, Norwalk - CT",CT,Fairfield County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,21.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,5467.0,34.830001831054695,105300.0,66.77999877929689,1652.0,1725.0,Application denied by financial institution
47705,7257500009,2011,HUD,Conventional,359,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,97.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,4864.0,54.5,84200.0,101.97000122070312,1155.0,1360.0,Loan originated
163954,0000451965,2011,CFPB,Conventional,153,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Rockwall County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,150.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,7028.0,10.199999809265137,69600.0,153.85000610351562,2133.0,2367.0,Application denied by financial institution
136143,7851800005,2011,HUD,Conventional,88,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Baltimore city,Not Hispanic or Latino,No co-applicant,American Indian or Alaska Native,No co-applicant,Male,No co-applicant,133.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,4435.0,90.38999938964844,84500.0,66.36000061035156,1070.0,1502.0,Application denied by financial institution
74383,0000060048,2011,NCUA,Conventional,26,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Middlesex County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,159.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a subordinate lien,6018.0,3.490000009536743,86500.0,136.97000122070312,2099.0,2283.0,Loan originated
82853,0003284070,2011,CFPB,Conventional,210,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Tolland County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,197.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,8610.0,3.0499999523162837,86500.0,125.66999816894531,2670.0,3036.0,Loan originated
44090,26-0707492,2011,HUD,Conventional,515,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"San Jose, Sunnyvale, Santa Clara - CA",CA,Santa Clara County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,120.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4517.0,29.63999938964844,103600.0,91.52999877929688,1076.0,1476.0,Loan originated
138654,05-0402708,2011,HUD,Conventional,79,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Jefferson City - MO,MO,Moniteau County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,48.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3793.0,3.9300000667572017,65000.0,95.58999633789062,1191.0,1529.0,Application denied by financial institution
132299,0000480228,2011,CFPB,Conventional,233,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Newark, Union - NJ, PA",NJ,Essex County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Female,No co-applicant,69.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,4349.0,17.68000030517578,90600.0,145.67999267578125,947.0,1443.0,Application denied by financial institution
113769,0001189117,2011,CFPB,Conventional,82,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Caswell County,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Male,Female,97.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,3802.0,34.669998168945305,49500.0,108.43000030517578,1207.0,1525.0,Application denied by financial institution
8793,20-8549934,2011,HUD,Conventional,129,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Indianapolis, Carmel - IN",IN,Marion County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,48.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,1814.0,10.529999732971193,66000.0,109.76000213623048,467.0,654.0,Loan originated
97799,0000852218,2011,CFPB,Conventional,100,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,SC,Clarendon County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,48.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,7160.0,37.43000030517578,47700.0,109.08000183105469,2394.0,4500.0,Loan originated
16729,0003284070,2011,CFPB,Conventional,252,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,,SC,Georgetown County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,88.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,10783.0,15.029999732971193,47700.0,154.6199951171875,3979.0,6916.0,Loan originated
34329,0000451965,2011,CFPB,FSA/RHS-guaranteed,146,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Provo, Orem - UT",UT,Utah County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,53.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,3874.0,6.559999942779541,66200.0,91.7300033569336,877.0,1122.0,Loan originated
41703,7442300004,2011,HUD,Conventional,115,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Anne Arundel County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,89.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4762.0,9.029999732971193,84500.0,124.29000091552734,1561.0,1901.0,Loan originated
130029,26-0021318,2011,HUD,Conventional,92,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Kalamazoo, Portage - MI",MI,Van Buren County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,10.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4196.0,16.420000076293945,62400.0,73.97000122070312,1238.0,1885.0,Application denied by financial institution
79306,0000451965,2011,CFPB,Conventional,192,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Fort Lauderdale, Pompano Beach, Deerfield Beach - FL",FL,Broward County,Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,54.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,5812.0,73.3499984741211,61800.0,127.91000366210938,1472.0,2690.0,Loan originated
106889,0002582023,2011,CFPB,Conventional,117,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Cuyahoga County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,48.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,2890.0,2.700000047683716,62800.0,100.97000122070312,1009.0,1166.0,Application denied by financial institution
3825,75-2838184,2011,HUD,Conventional,141,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Hartford County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,70.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4871.0,62.27000045776367,86500.0,55.06999969482422,511.0,1262.0,Loan originated
43385,0000016889,2011,FDIC,Conventional,60,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Mitchell County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,24.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,4947.0,3.359999895095825,49500.0,102.2699966430664,1686.0,2472.0,Loan originated
96704,92-0164378,2011,HUD,Conventional,92,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Anchorage - AK,AK,Matanuska-Susitna Borough,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,40.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,3765.0,18.489999771118164,84000.0,82.36000061035156,678.0,1274.0,Loan originated
67840,1461700004,2011,HUD,Conventional,315,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Forsyth County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,138.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,27065.0,9.380000114440918,68300.0,162.24000549316406,8497.0,9320.0,Loan originated
99219,04-3660901,2011,NCUA,Conventional,299,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Anchorage - AK,AK,Anchorage Municipality,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,67.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,4875.0,12.979999542236328,84000.0,170.49000549316406,1413.0,1546.0,Loan originated
124594,0000451965,2011,CFPB,Conventional,62,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,85.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,2619.0,40.5099983215332,62500.0,109.8000030517578,654.0,826.0,Application denied by financial institution
73588,0000451965,2011,CFPB,Conventional,227,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Iredell County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,104.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,12883.0,9.899999618530273,49500.0,127.20999908447266,4278.0,5714.0,Loan originated
122754,0002582023,2011,CFPB,Conventional,280,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,,OR,Tillamook County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,133.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,3076.0,5.71999979019165,52700.0,88.79000091552734,1158.0,3024.0,Application denied by financial institution
54723,26-4599244,2011,HUD,FHA-insured,135,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Madison - WI,WI,Dane County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,31.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,5982.0,5.420000076293945,81800.0,97.80999755859376,1703.0,2182.0,Loan originated
11129,68-0309242,2011,HUD,Conventional,610,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,261.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,4492.0,19.790000915527344,84200.0,158.99000549316406,812.0,1467.0,Loan originated
42020,16-1245395,2011,CFPB,Conventional,180,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Buffalo, Niagara Falls - NY",NY,Erie County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,91.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,4847.0,26.59000015258789,65300.0,91.31999969482422,747.0,2204.0,Loan originated
121770,0000517900,2011,CFPB,Conventional,336,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Tolland County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,192.0,Loan was not originated or was not sold in calendar year covered by register,Employment history,Not a HOEPA loan,Secured by a first lien,7347.0,3.7200000286102295,86500.0,130.72000122070312,2457.0,2580.0,Application denied by financial institution
60036,7197000003,2011,HUD,VA-guaranteed,107,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Cuyahoga County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,70.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,4833.0,3.660000085830689,62800.0,100.56999969482422,1603.0,1928.0,Loan originated
180543,0000852218,2011,CFPB,FHA-insured,86,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Franklin County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,29.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,2093.0,75.44000244140625,66600.0,101.68000030517578,473.0,542.0,Application denied by financial institution
49183,0000060936,2011,NCUA,Conventional,110,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Holland, Grand Haven - MI",MI,Ottawa County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,32.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,12537.0,3.0799999237060547,65100.0,117.61000061035156,3156.0,3413.0,Loan originated
119933,0000702738,2011,OCC,Conventional,32,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Not applicable,"Winston, Salem - NC",NC,Yadkin County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,21.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,3898.0,4.1599998474121085,61200.0,85.4800033569336,1331.0,1710.0,Application denied by financial institution
123660,0000451965,2011,CFPB,Conventional,240,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New Haven, Milford - CT",CT,New Haven County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,81.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,4965.0,75.8499984741211,81400.0,75.36000061035156,816.0,1688.0,Application denied by financial institution
180744,0000012311,2011,CFPB,Conventional,124,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Holland, Grand Haven - MI",MI,Ottawa County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,41.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,7286.0,27.65999984741211,65100.0,87.47000122070312,1680.0,2161.0,Application denied by financial institution
76581,0000852218,2011,CFPB,Conventional,62,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Lake Havasu City, Kingman - AZ",AZ,Mohave County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,162.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,6023.0,18.790000915527344,50500.0,91.66000366210938,1386.0,2505.0,Loan originated
33582,0000491224,2011,CFPB,Conventional,115,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Wilmington - NC,NC,New Hanover County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,44.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,13764.0,9.859999656677246,60000.0,119.7699966430664,4764.0,5840.0,Loan originated
178980,0000451965,2011,CFPB,Conventional,240,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Female,146.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,5976.0,6.460000038146973,65500.0,126.5999984741211,1893.0,2690.0,Application denied by financial institution
109553,52-2102740,2011,HUD,Conventional,455,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,SC,Georgetown County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,77.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,5863.0,8.680000305175781,47700.0,123.9000015258789,2357.0,3525.0,Application denied by financial institution
109448,0000480228,2011,CFPB,FHA-insured,265,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Baltimore city,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,90.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,2405.0,6.199999809265138,84500.0,78.73999786376953,831.0,1141.0,Application denied by financial institution
85834,0000504713,2011,CFPB,Conventional,220,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Warren, Troy, Farmington Hills - MI",MI,Macomb County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,186.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,7405.0,3.9800000190734863,73800.0,106.06999969482422,2104.0,2613.0,Loan originated
117869,75-2921540,2011,HUD,FHA-insured,159,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Mobile - AL,AL,Mobile County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,53.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8674.0,6.539999961853027,51200.0,135.17999267578122,2735.0,3133.0,Application denied by financial institution
44592,0000456157,2011,FRS,Conventional,348,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,WI,Sawyer County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,84.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,3255.0,25.40999984741211,59100.0,83.55000305175781,1092.0,3569.0,Loan originated
185648,0003284070,2011,CFPB,Conventional,103,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Warren, Troy, Farmington Hills - MI",MI,Macomb County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,38.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3060.0,9.510000228881836,73800.0,90.48999786376952,858.0,942.0,Application denied by financial institution
36628,0000852218,2011,CFPB,Conventional,304,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Bridgeport, Stamford, Norwalk - CT",CT,Fairfield County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,95.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5480.0,6.3499999046325675,105300.0,114.29000091552734,1806.0,1918.0,Loan originated
59722,0000715263,2011,OCC,Conventional,10,Not owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Trenton, Ewing - NJ",NJ,Mercer County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,65.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a subordinate lien,4833.0,33.130001068115234,94400.0,77.25,1070.0,1503.0,Loan originated
126754,0000035345,2011,FDIC,Conventional,117,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Warren, Troy, Farmington Hills - MI",MI,Oakland County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,36.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,6007.0,12.5,73800.0,158.25,1912.0,1950.0,Application denied by financial institution
196536,0000497404,2011,CFPB,Conventional,38,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Newark, Union - NJ, PA",NJ,Union County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,94.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a subordinate lien,4153.0,7.269999980926514,90600.0,93.61000061035156,1093.0,1691.0,Application denied by financial institution
70949,0000063057,2011,NCUA,Conventional,61,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was requested,"Florence, Muscle Shoals - AL",AL,Colbert County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,21.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,9019.0,16.899999618530273,53000.0,117.8000030517578,2714.0,3440.0,Loan originated
56259,0000019222,2011,FDIC,Conventional,400,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Oakland, Fremont, Hayward - CA",CA,Alameda County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,153.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,8132.0,65.37000274658203,92300.0,107.19000244140624,1447.0,2156.0,Loan originated
88133,0000714752,2011,OCC,Conventional,337,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was requested,"Indianapolis, Carmel - IN",IN,Hamilton County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Male,Female,100.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6701.0,8.890000343322754,66000.0,250.6000061035156,2048.0,2102.0,Loan originated
37420,0000852218,2011,CFPB,Conventional,283,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"San Diego, Carlsbad, San Marcos - CA",CA,San Diego County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,137.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5076.0,13.93000030517578,74900.0,82.33000183105469,590.0,1652.0,Loan originated
95994,0000019222,2011,FDIC,Conventional,405,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Female,173.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3322.0,10.56999969482422,62500.0,144.52000427246094,1479.0,3008.0,Loan originated
194404,7426300003,2011,HUD,FHA-insured,173,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Barbara, Santa Maria, Goleta - CA",CA,Santa Barbara County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,34.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,6287.0,66.33999633789061,72300.0,57.81999969482422,759.0,1473.0,Application denied by financial institution
53281,0000026451,2011,FDIC,Conventional,80,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Worcester - MA,MA,Worcester County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,102.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6799.0,2.7100000381469727,82500.0,90.5999984741211,1997.0,2480.0,Loan originated
61054,23-2785376,2011,HUD,Conventional,126,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Franklin County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,82.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,2686.0,4.579999923706055,66600.0,167.27000427246094,1205.0,1271.0,Loan originated
178582,0000019222,2011,FDIC,Conventional,216,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Cruz, Watsonville - CA",CA,Santa Cruz County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,101.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7127.0,21.520000457763672,85800.0,121.9800033569336,1929.0,2641.0,Application denied by financial institution
29295,73-1577221,2011,HUD,Conventional,417,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Collin County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,164.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,11868.0,7.619999885559082,69600.0,189.6100006103516,3598.0,3933.0,Loan originated
127601,0000012311,2011,CFPB,Conventional,78,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Marion County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,19.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,9552.0,11.68000030517578,66000.0,160.92999267578125,3268.0,3446.0,Application denied by financial institution
4330,0000065728,2011,NCUA,Conventional,63,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,CT,Windham County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,98.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6612.0,24.11000061035156,82000.0,83.01000213623047,1782.0,2207.0,Loan originated
6744,14-1841762,2011,HUD,Conventional,417,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Washington, Arlington, Alexandria - DC, VA, MD, WV",VA,Fairfax County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Female,No co-applicant,169.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6575.0,12.75,104300.0,195.07000732421875,2042.0,2128.0,Loan originated
